date,home,away,edge,odds,bet,profit,bankroll
2024-12-05,Fulham,Brighton,0.05789173790445623,2.35,2061.8054470149827,2783.4373534702268,34433.433723590286
2024-12-05,Bournemouth,Tottenham,0.187171140166288,2.63,6886.6867447180575,11225.299393890433,45658.73311748072
2024-12-07,Crystal Palace,Man City,0.2046671730792364,5.5,9131.746623496145,-9131.746623496145,36526.98649398457
2024-12-07,Brentford,Newcastle,0.07813651523015108,2.88,3470.464612871924,6524.473472199217,43051.459966183786
2024-12-07,Aston Villa,Southampton,0.1125261718036783,1.36,8610.291993236757,3099.705117565233,46151.165083749016
2024-12-21,Aston Villa,Man City,0.14210594408385652,3.25,8419.473321748146,18943.814973933328,65094.98005768235
2024-12-21,Ipswich,Newcastle,0.06125173202059053,4.75,4141.924563957854,-4141.924563957854,60953.055493724496
2024-12-21,Crystal Palace,Arsenal,0.05339979421773419,6.25,3393.468253597558,-3393.468253597558,57559.58724012694
2024-12-22,Fulham,Southampton,0.10832680232627889,1.42,11511.917448025388,-11511.917448025388,46047.66979210155
2024-12-22,Man United,Bournemouth,0.05589155215865349,1.8,2696.658210962553,-2696.658210962553,43351.011581139
2024-12-26,Newcastle,Aston Villa,0.06541640100729162,1.91,3537.9216113989414,3219.5086663730362,46570.52024751203
2024-12-30,Ipswich,Chelsea,0.09705995774630588,6.5,4798.418857791425,26391.303717852836,72961.82396536486
2025-01-04,Brighton,Arsenal,0.07300606724700309,4.33,5820.105583764736,-5820.105583764736,67141.71838160013
2025-01-04,Southampton,Brentford,0.08797185723249212,3.0,7441.385487653495,-7441.385487653495,59700.33289394664
2025-01-04,Crystal Palace,Chelsea,0.10298693886175689,3.8,7263.634985879033,-7263.634985879033,52436.6979080676
2025-01-05,Fulham,Ipswich,0.07876116782052867,1.55,6483.259213755917,-6483.259213755917,45953.438694311684
2025-01-14,Nott'm Forest,Liverpool,0.1359749571019352,5.25,7187.591964888347,-7187.591964888347,38765.846729423334
2025-01-14,West Ham,Fulham,0.08532103713293876,3.0,4080.271401313149,8160.542802626298,46926.38953204963
2025-01-14,Brentford,Man City,0.1481438862128045,4.75,8031.957465171418,-8031.957465171418,38894.43206687821
2025-01-15,Arsenal,Tottenham,0.14781802161115865,1.4,7778.886413375642,3111.5545653502563,42005.986632228465
2025-01-18,Leicester,Fulham,0.05062906600954531,4.33,2087.6992042237002,-2087.6992042237002,39918.28742800476
2025-01-20,Chelsea,Wolves,0.058287825341609034,1.36,2213.029325558516,796.690557201066,40714.97798520583
2025-01-25,Bournemouth,Nott'm Forest,0.11797536526993796,2.05,7454.550536782812,7827.278063621951,48542.25604882778
